InteractionID	REL_ENT	REG_DIR	INDIRECT	PASSIVE	NEGATED	SENTENCE
miRNA-corp.d19.s3.p3	NA	NA	FALSE	FALSE	FALSE	Consistent with its regulation by <e2>Shh</e2>, we observed that Shh treatment of primary cerebellar granule neuron precursors (CGNP), proposed cells of origin for the Shh-associated medulloblastomas, resulted in increased <e1>miR-17/92</e1> expression.
miRNA-corp.d19.s4.p1	MIR_GENE	UP	FALSE	FALSE	FALSE	Medulloblastomas in which <e1>miR-17/92</e1> was up-regulated also had elevated levels of <e2>MYC</e2>/MYCN expression.
miRNA-corp.d19.s4.p2	MIR_GENE	UP	FALSE	FALSE	FALSE	Medulloblastomas in which <e1>miR-17/92</e1> was up-regulated also had elevated levels of MYC/<e2>MYCN</e2> expression.
miRNA-corp.d19.s5.p2	NA	NA	FALSE	FALSE	FALSE	Expression of <e1>miR-17/92</e1> was highest in the subgroup of medulloblastomas associated with activation of the <e2>sonic hedgehog</e2> (Shh) signaling pathway compared with other subgroups of medulloblastoma.
miRNA-corp.d19.s5.p3	NA	NA	FALSE	FALSE	FALSE	Expression of <e1>miR-17/92</e1> was highest in the subgroup of medulloblastomas associated with activation of the sonic hedgehog (<e2>Shh</e2>) signaling pathway compared with other subgroups of medulloblastoma.
miRNA-corp.d19.s9.p0	NA	NA	FALSE	FALSE	FALSE	The <e1>miR-17/92</e1> polycistron is up-regulated in sonic hedgehog-driven medulloblastomas and induced by N-myc in <e2>sonic hedgehog</e2>-treated cerebellar neural precursors.
miRNA-corp.d19.s9.p2	GENE_MIR	UP	FALSE	TRUE	FALSE	The <e1>miR-17/92</e1> polycistron is up-regulated in sonic hedgehog-driven medulloblastomas and induced by <e2>N-myc</e2> in sonic hedgehog-treated cerebellar neural precursors.
miRNA-corp.d19.s9.p3	NA	NA	FALSE	FALSE	FALSE	The <e1>miR-17/92</e1> polycistron is up-regulated in <e2>sonic hedgehog</e2>-driven medulloblastomas and induced by N-myc in sonic hedgehog-treated cerebellar neural precursors.
miRNA-corp.d20.s7.p2	MIR_GENE	TARGET	FALSE	FALSE	FALSE	In this paper, we present for the first time evidence that microRNAs (miRNAs), including <e1>miR-26a, -34a, -145</e1>, and let-7b, may directly regulate <e2>IFN-beta</e2> in human and macaque cells.
miRNA-corp.d20.s7.p3	MIR_GENE	TARGET	FALSE	FALSE	FALSE	In this paper, we present for the first time evidence that microRNAs (miRNAs), including miR-26a, -34a, -145, and <e1>let-7b</e1>, may directly regulate <e2>IFN-beta</e2> in human and macaque cells.
miRNA-corp.d22.s3.p0	MIR_GENE	TARGET	TRUE	FALSE	FALSE	Similar results were obtained by depletion of endogenous <e2>polypyrimidine tract binding protein</e2> 1 (PTBP1) in cells, a recognized <e1>miR-124</e1> target gene.
miRNA-corp.d22.s3.p1	MIR_GENE	TARGET	TRUE	FALSE	FALSE	Similar results were obtained by depletion of endogenous polypyrimidine tract binding protein 1 (<e2>PTBP1</e2>) in cells, a recognized <e1>miR-124</e1> target gene.
miRNA-corp.d22.s7.p0	NA	NA	FALSE	FALSE	FALSE	Lack of miRNAs in post-mitotic neurons in vivo is associated with <e2>APP</e2> exons 7 and 8 inclusion, while ectopic expression of <e1>miR-124</e1>, an abundant neuronal-specific miRNA, reversed these effects in cultured neurons.
miRNA-corp.d30.s3.p0	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Utilizing human cell lines, we demonstrate that miRNAs <e1>hsa-mir-106a</e1> and hsa-mir-520c bind to their predicted target sequences in the <e2>APP</e2> 3'UTR and negatively regulate reporter gene expression.
miRNA-corp.d30.s3.p1	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Utilizing human cell lines, we demonstrate that miRNAs hsa-mir-106a and <e1>hsa-mir-520c</e1> bind to their predicted target sequences in the <e2>APP</e2> 3'UTR and negatively regulate reporter gene expression.
miRNA-corp.d33.s1.p0	MIR_GENE	TARGET	FALSE	FALSE	FALSE	The bifunctional microRNA <e1>miR-9</e1>/miR-9* regulates <e2>REST</e2> and CoREST and is downregulated in Huntington's disease.
miRNA-corp.d33.s1.p1	MIR_GENE	TARGET	FALSE	FALSE	FALSE	The bifunctional microRNA <e1>miR-9</e1>/miR-9* regulates REST and <e2>CoREST</e2> and is downregulated in Huntington's disease.
miRNA-corp.d33.s1.p3	MIR_GENE	TARGET	FALSE	FALSE	FALSE	The bifunctional microRNA miR-9/<e1>miR-9</e1>* regulates <e2>REST</e2> and CoREST and is downregulated in Huntington's disease.
miRNA-corp.d33.s1.p4	MIR_GENE	TARGET	FALSE	FALSE	FALSE	The bifunctional microRNA miR-9/<e1>miR-9</e1>* regulates REST and <e2>CoREST</e2> and is downregulated in Huntington's disease.
miRNA-corp.d33.s6.p0	NA	NA	FALSE	FALSE	FALSE	Interestingly, one of these, the bifunctional brain enriched miR-9/<e1>miR-9</e1>*, targets two components of the REST complex: miR-9 targets <e2>REST</e2> and miR-9* targets CoREST.
miRNA-corp.d33.s6.p1	NA	NA	FALSE	FALSE	FALSE	Interestingly, one of these, the bifunctional brain enriched miR-9/<e1>miR-9</e1>*, targets two components of the REST complex: miR-9 targets REST and miR-9* targets <e2>CoREST</e2>.
miRNA-corp.d33.s6.p2	NA	NA	FALSE	FALSE	FALSE	Interestingly, one of these, the bifunctional brain enriched <e1>miR-9</e1>/miR-9*, targets two components of the REST complex: miR-9 targets <e2>REST</e2> and miR-9* targets CoREST.
miRNA-corp.d33.s6.p3	NA	NA	FALSE	FALSE	FALSE	Interestingly, one of these, the bifunctional brain enriched <e1>miR-9</e1>/miR-9*, targets two components of the REST complex: miR-9 targets REST and miR-9* targets <e2>CoREST</e2>.
miRNA-corp.d33.s6.p4	NA	NA	FALSE	FALSE	FALSE	Interestingly, one of these, the bifunctional brain enriched miR-9/miR-9*, targets two components of the REST complex; miR-9 targets <e2>REST</e2> and <e1>miR-9</e1>* targets CoREST.
miRNA-corp.d33.s6.p5	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Interestingly, one of these, the bifunctional brain enriched miR-9/miR-9*, targets two components of the REST complex; miR-9 targets REST and <e1>miR-9</e1>* targets <e2>CoREST</e2>.
miRNA-corp.d33.s6.p6	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Interestingly, one of these, the bifunctional brain enriched miR-9/miR-9*, targets two components of the REST complex; <e1>miR-9</e1> targets <e2>REST</e2> and miR-9* targets CoREST.
miRNA-corp.d33.s6.p7	NA	NA	FALSE	FALSE	FALSE	Interestingly, one of these, the bifunctional brain enriched miR-9/miR-9*, targets two components of the REST complex; <e1>miR-9</e1> targets REST and miR-9* targets <e2>CoREST</e2>.
miRNA-corp.d34.s4.p0	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Western blot analysis demonstrated that <e2>PTEN</e2> and Bcl-2 were involved in <e1>miR-21</e1>-mediated cellular effects.
miRNA-corp.d34.s4.p1	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Western blot analysis demonstrated that PTEN and <e2>Bcl-2</e2> were involved in <e1>miR-21</e1>-mediated cellular effects.
miRNA-corp.d37.s0.p0	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Altered microRNAs in STHdh(Q111)/Hdh(Q111) cells; <e1>miR-146a</e1> targets <e2>TBP</e2>.
miRNA-corp.d37.s5.p0	NA	NA	FALSE	FALSE	FALSE	Using luciferase reporter assays with 3'-UTRs of <e2>TBP</e2>, over-expression and inhibition of <e1>miR-146a</e1>, we showed that miR-146a targets TBP.
miRNA-corp.d37.s5.p1	NA	NA	FALSE	FALSE	FALSE	Using luciferase reporter assays with 3'-UTRs of TBP, over-expression and inhibition of <e1>miR-146a</e1>, we showed that miR-146a targets <e2>TBP</e2>.
miRNA-corp.d37.s5.p2	NA	NA	FALSE	FALSE	FALSE	Using luciferase reporter assays with 3'-UTRs of <e2>TBP</e2>, over-expression and inhibition of miR-146a, we showed that <e1>miR-146a</e1> targets TBP.
miRNA-corp.d37.s5.p3	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Using luciferase reporter assays with 3'-UTRs of TBP, over-expression and inhibition of miR-146a, we showed that <e1>miR-146a</e1> targets <e2>TBP</e2>.
miRNA-corp.d37.s6.p0	MIR_GENE	TARGET	FALSE	FALSE	FALSE	It has been predicted that <e1>miR-146a</e1> may target <e2>Tata Binding Protein</e2> (TBP).
miRNA-corp.d37.s6.p1	MIR_GENE	TARGET	FALSE	FALSE	FALSE	It has been predicted that <e1>miR-146a</e1> may target Tata Binding Protein (<e2>TBP</e2>).
miRNA-corp.d37.s7.p1	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Regulation of <e2>TBP</e2> by <e1>miR-146a</e1> may contribute to HD pathogenesis.
miRNA-corp.d47.s4.p0	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Indeed, <e1>miR-485-5p</e1> and BACE1-antisense compete for binding within the same region in the open reading frame of the <e2>BACE1</e2> mRNA.
miRNA-corp.d47.s5.p0	NA	NA	FALSE	FALSE	FALSE	RESULTS; We report here that BACE1-antisense prevents miRNA-induced repression of <e2>BACE1</e2> mRNA by masking the binding site for <e1>miR-485-5p</e1>.
miRNA-corp.d47.s8.p0	NA	NA	FALSE	FALSE	FALSE	We observed opposing effects of BACE1-antisense and <e1>miR-485-5p</e1> on BACE1 protein in vitro and showed that Locked Nucleic Acid-antimiR mediated knockdown of miR-485-5p as well as BACE1-antisense over-expression can prevent the miRNA-induced <e2>BACE1</e2> suppression.
miRNA-corp.d47.s8.p1	NA	NA	FALSE	FALSE	FALSE	We observed opposing effects of BACE1-antisense and <e1>miR-485-5p</e1> on <e2>BACE1</e2> protein in vitro and showed that Locked Nucleic Acid-antimiR mediated knockdown of miR-485-5p as well as BACE1-antisense over-expression can prevent the miRNA-induced BACE1 suppression.
miRNA-corp.d47.s8.p2	NA	NA	FALSE	FALSE	FALSE	We observed opposing effects of BACE1-antisense and miR-485-5p on BACE1 protein in vitro and showed that Locked Nucleic Acid-antimiR mediated knockdown of <e1>miR-485-5p</e1> as well as BACE1-antisense over-expression can prevent the miRNA-induced <e2>BACE1</e2> suppression.
miRNA-corp.d47.s8.p3	NA	NA	FALSE	FALSE	FALSE	We observed opposing effects of BACE1-antisense and miR-485-5p on <e2>BACE1</e2> protein in vitro and showed that Locked Nucleic Acid-antimiR mediated knockdown of <e1>miR-485-5p</e1> as well as BACE1-antisense over-expression can prevent the miRNA-induced BACE1 suppression.
miRNA-corp.d48.s5.p0	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Antagomir-mediated prevention of <e1>mir-145</e1> expression led to an increased protein expression of its downstream target <e2>superoxide dismutase-2</e2> in the postischemic brain.
miRNA-corp.d51.s3.p0	MIR_GENE	NEU	FALSE	FALSE	FALSE	Adjusted <e1>miR-107</e1> and <e2>BACE1</e2> mRNA levels tended to correlate negatively (trend with regression P< 0.07).
miRNA-corp.d53.s3.p1	NA	NA	FALSE	FALSE	FALSE	To investigate the involvement of let-7i, <e1>miR-27a</e1>, and miR-150 in CM-resistant mice, we assessed the expression levels in gamma interferon knockout (<e2>IFN</e2>-γ(-/-)) mice on a C57BL/6 genetic background.
miRNA-corp.d53.s3.p2	NA	NA	FALSE	FALSE	FALSE	To investigate the involvement of let-7i, <e1>miR-27a</e1>, and miR-150 in CM-resistant mice, we assessed the expression levels in <e2>gamma interferon</e2> knockout (IFN-γ(-/-)) mice on a C57BL/6 genetic background.
miRNA-corp.d53.s3.p4	NA	NA	FALSE	FALSE	FALSE	To investigate the involvement of let-7i, miR-27a, and <e1>miR-150</e1> in CM-resistant mice, we assessed the expression levels in gamma interferon knockout (<e2>IFN</e2>-γ(-/-)) mice on a C57BL/6 genetic background.
miRNA-corp.d53.s3.p5	NA	NA	FALSE	FALSE	FALSE	To investigate the involvement of let-7i, miR-27a, and <e1>miR-150</e1> in CM-resistant mice, we assessed the expression levels in <e2>gamma interferon</e2> knockout (IFN-γ(-/-)) mice on a C57BL/6 genetic background.
miRNA-corp.d53.s3.p7	NA	NA	FALSE	FALSE	FALSE	To investigate the involvement of <e1>let-7i</e1>, miR-27a, and miR-150 in CM-resistant mice, we assessed the expression levels in gamma interferon knockout (<e2>IFN</e2>-γ(-/-)) mice on a C57BL/6 genetic background.
miRNA-corp.d53.s3.p8	NA	NA	FALSE	FALSE	FALSE	To investigate the involvement of <e1>let-7i</e1>, miR-27a, and miR-150 in CM-resistant mice, we assessed the expression levels in <e2>gamma interferon</e2> knockout (IFN-γ(-/-)) mice on a C57BL/6 genetic background.
miRNA-corp.d53.s9.p0	NA	NA	FALSE	FALSE	FALSE	The expression of <e1>let-7i</e1>, miR-27a, and miR-150 was unchanged in both wild-type (WT) and <e2>IFN</e2>-γ(-/-) mice following infection.
miRNA-corp.d53.s9.p2	NA	NA	FALSE	FALSE	FALSE	The expression of let-7i, <e1>miR-27a</e1>, and miR-150 was unchanged in both wild-type (WT) and <e2>IFN</e2>-γ(-/-) mice following infection.
miRNA-corp.d53.s9.p4	NA	NA	FALSE	FALSE	FALSE	The expression of let-7i, miR-27a, and <e1>miR-150</e1> was unchanged in both wild-type (WT) and <e2>IFN</e2>-γ(-/-) mice following infection.
miRNA-corp.d56.s5.p0	NA	NA	FALSE	FALSE	FALSE	By incorporating <e1>miR-126</e1> target sequences into a GALC-expressing vector, we suppressed <e2>GALC</e2> expression in HSCs while maintaining robust expression in mature hematopoietic cells.
miRNA-corp.d56.s5.p1	MIR_GENE	DOWN	TRUE	FALSE	FALSE	By incorporating <e1>miR-126</e1> target sequences into a GALC-expressing vector, we suppressed <e2>GALC</e2> expression in HSCs while maintaining robust expression in mature hematopoietic cells.
miRNA-corp.d56.s5.p2	NA	NA	FALSE	FALSE	FALSE	By incorporating <e1>miR-126</e1> target sequences into a <e2>GALC</e2>-expressing vector, we suppressed GALC expression in HSCs while maintaining robust expression in mature hematopoietic cells.
miRNA-corp.d60.s0.p0	MIR_GENE	NEU	FALSE	FALSE	FALSE	Through various experimental approaches, we validated computational predictions and demonstrated that miR-298 and <e1>miR-328</e1> recognize specific binding sites in the 3'-UTR of BACE1 mRNA and exert regulatory effects on <e2>BACE1</e2> protein expression in cultured neuronal cells.
miRNA-corp.d60.s0.p1	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Through various experimental approaches, we validated computational predictions and demonstrated that miR-298 and <e1>miR-328</e1> recognize specific binding sites in the 3'-UTR of <e2>BACE1</e2> mRNA and exert regulatory effects on BACE1 protein expression in cultured neuronal cells.
miRNA-corp.d60.s0.p2	MIR_GENE	NEU	FALSE	FALSE	FALSE	Through various experimental approaches, we validated computational predictions and demonstrated that <e1>miR-298</e1> and miR-328 recognize specific binding sites in the 3'-UTR of BACE1 mRNA and exert regulatory effects on <e2>BACE1</e2> protein expression in cultured neuronal cells.
miRNA-corp.d60.s0.p3	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Through various experimental approaches, we validated computational predictions and demonstrated that <e1>miR-298</e1> and miR-328 recognize specific binding sites in the 3'-UTR of <e2>BACE1</e2> mRNA and exert regulatory effects on BACE1 protein expression in cultured neuronal cells.
miRNA-corp.d68.s0.p7	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Aberrant microRNA expression in the brains of neurodegenerative diseases; <e1>miR-29a</e1> decreased in Alzheimer disease brains targets <e2>neurone navigator 3</e2>.  AIMS.;  MicroRNAs (miRNAs) are small non-coding RNAs that regulate translational repression of target mRNAs. 
miRNA-corp.d68.s1.p0	MIR_GENE	DOWN	FALSE	FALSE	FALSE	<e1>MiR-29a</e1>-mediated down-regulation of <e2>NAV3</e2> was verified by the luciferase reporter assay.
miRNA-corp.d68.s3.p0	MIR_GENE	TARGET	FALSE	FALSE	FALSE	The database search on TargetScan, PicTar and miRBase Target identified <e2>neurone navigator 3</e2> (NAV3), a regulator of axon guidance, as a principal target of <e1>miR-29a</e1>, and actually NAV3 mRNA levels were elevated in AD brains.
miRNA-corp.d68.s3.p1	MIR_GENE	TARGET	FALSE	FALSE	FALSE	The database search on TargetScan, PicTar and miRBase Target identified neurone navigator 3 (<e2>NAV3</e2>), a regulator of axon guidance, as a principal target of <e1>miR-29a</e1>, and actually NAV3 mRNA levels were elevated in AD brains.
miRNA-corp.d68.s3.p2	NA	NA	FALSE	FALSE	FALSE	The database search on TargetScan, PicTar and miRBase Target identified neurone navigator 3 (NAV3), a regulator of axon guidance, as a principal target of <e1>miR-29a</e1>, and actually <e2>NAV3</e2> mRNA levels were elevated in AD brains.
miRNA-corp.d68.s10.p0	NA	NA	FALSE	FALSE	FALSE	By immunohistochemistry, <e2>NAV3</e2> expression was most evidently enhanced in degenerating pyramidal neurones in the cerebral cortex of AD. CONCLUSIONS: These observations suggest the hypothesis that underexpression of <e1>miR-29a</e1> affects neurodegenerative processes by enhancing neuronal NAV3 expression in AD brains.
miRNA-corp.d68.s10.p3	MIR_GENE	DOWN	TRUE	FALSE	FALSE	By immunohistochemistry, NAV3 expression was most evidently enhanced in degenerating pyramidal neurones in the cerebral cortex of AD. CONCLUSIONS; These observations suggest the hypothesis that underexpression of <e1>miR-29a</e1> affects neurodegenerative processes by enhancing neuronal <e2>NAV3</e2> expression in AD brains.
miRNA-corp.d71.s5.p2	NA	NA	FALSE	FALSE	FALSE	Interestingly the gene locus of one miRNA, <e1>miR-175</e1>, is a candidate region for two neurologic diseases: early-onset parkinsonism (<e2>Waisman syndrome</e2>) and X-linked mental retardation (MRX3).
miRNA-corp.d71.s5.p3	NA	NA	FALSE	FALSE	FALSE	Interestingly the gene locus of one miRNA, <e1>miR-175</e1>, is a candidate region for two neurologic diseases: early-onset parkinsonism (Waisman syndrome) and X-linked mental retardation (<e2>MRX3</e2>).
miRNA-corp.d73.s4.p0	MIR_GENE	TARGET	FALSE	FALSE	FALSE	<e1>miR-15a</e1> and miR-16-1 function by targeting multiple oncogenes, including <e2>BCL2</e2>, MCL1, CCND1, and WNT3A.
miRNA-corp.d73.s4.p1	MIR_GENE	TARGET	FALSE	FALSE	FALSE	<e1>miR-15a</e1> and miR-16-1 function by targeting multiple oncogenes, including BCL2, <e2>MCL1</e2>, CCND1, and WNT3A.
miRNA-corp.d73.s4.p2	MIR_GENE	TARGET	FALSE	FALSE	FALSE	<e1>miR-15a</e1> and miR-16-1 function by targeting multiple oncogenes, including BCL2, MCL1, <e2>CCND1</e2>, and WNT3A.
miRNA-corp.d73.s4.p3	MIR_GENE	TARGET	FALSE	FALSE	FALSE	<e1>miR-15a</e1> and miR-16-1 function by targeting multiple oncogenes, including BCL2, MCL1, CCND1, and <e2>WNT3A</e2>.
miRNA-corp.d73.s4.p4	MIR_GENE	TARGET	FALSE	FALSE	FALSE	miR-15a and <e1>miR-16-1</e1> function by targeting multiple oncogenes, including <e2>BCL2</e2>, MCL1, CCND1, and WNT3A.
miRNA-corp.d73.s4.p5	MIR_GENE	TARGET	FALSE	FALSE	FALSE	miR-15a and <e1>miR-16-1</e1> function by targeting multiple oncogenes, including BCL2, <e2>MCL1</e2>, CCND1, and WNT3A.
miRNA-corp.d73.s4.p6	MIR_GENE	TARGET	FALSE	FALSE	FALSE	miR-15a and <e1>miR-16-1</e1> function by targeting multiple oncogenes, including BCL2, MCL1, <e2>CCND1</e2>, and WNT3A.
miRNA-corp.d73.s4.p7	MIR_GENE	TARGET	FALSE	FALSE	FALSE	miR-15a and <e1>miR-16-1</e1> function by targeting multiple oncogenes, including BCL2, MCL1, CCND1, and <e2>WNT3A</e2>.
miRNA-corp.d83.s4.p0	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Computational analysis predicted <e2>fibroblast growth factor-2</e2> (FGF-2) as the strongest target gene for <e1>hsa-miR15b</e1>.
miRNA-corp.d83.s4.p1	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Computational analysis predicted fibroblast growth factor-2 (<e2>FGF-2</e2>) as the strongest target gene for <e1>hsa-miR15b</e1>.
miRNA-corp.d89.s2.p0	NA	NA	FALSE	FALSE	FALSE	The family of miR-64 and miR-65 are co-underexpressed in the alpha-synuclein transgenic and cat-1 strains, and members of let-7 family co-underexpressed in the alpha-synuclein and pdr-1 strains; mdl-1 and ptc-1 genes are target candidates for miR-64 and <e1>miR-65</e1> and are overexpressed in <e2>alpha-synuclein</e2> transgenic as well as miR-64/65 (tm3711) knockout animals.
miRNA-corp.d89.s2.p1	MIR_GENE	TARGET	FALSE	FALSE	FALSE	The family of miR-64 and miR-65 are co-underexpressed in the alpha-synuclein transgenic and cat-1 strains, and members of let-7 family co-underexpressed in the alpha-synuclein and pdr-1 strains; mdl-1 and <e2>ptc-1</e2> genes are target candidates for miR-64 and <e1>miR-65</e1> and are overexpressed in alpha-synuclein transgenic as well as miR-64/65 (tm3711) knockout animals.
miRNA-corp.d89.s2.p2	NA	NA	FALSE	FALSE	FALSE	The family of miR-64 and miR-65 are co-underexpressed in the <e2>alpha-synuclein</e2> transgenic and cat-1 strains, and members of let-7 family co-underexpressed in the alpha-synuclein and pdr-1 strains; mdl-1 and ptc-1 genes are target candidates for miR-64 and <e1>miR-65</e1> and are overexpressed in alpha-synuclein transgenic as well as miR-64/65 (tm3711) knockout animals.
miRNA-corp.d89.s2.p3	MIR_GENE	TARGET	FALSE	FALSE	FALSE	The family of miR-64 and miR-65 are co-underexpressed in the alpha-synuclein transgenic and cat-1 strains, and members of let-7 family co-underexpressed in the alpha-synuclein and pdr-1 strains; <e2>mdl-1</e2> and ptc-1 genes are target candidates for miR-64 and <e1>miR-65</e1> and are overexpressed in alpha-synuclein transgenic as well as miR-64/65 (tm3711) knockout animals.
